question,actual_answer,student_answer,score,feedback
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,0.8,Meaning correct but structure different
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The ...,0.54,Partially correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was discovered by Isaac Newton.,0.23,Incorrect
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the yen.,1.0,Correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan was the yen.,0.87,Meaning correct but structure different
What is the currency of Japan?,The currency of Japan is the yen.,The ...,0.48,Partially correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the won.,0.08,Incorrect
What is the capital of France?,The capital of France is Paris.,The capital of France is Paris.,1.0,Correct
What is the capital of France?,The capital of France is Paris.,The capital of France was Parwas.,0.89,Meaning correct but structure different
What is the capital of France?,The capital of France is Paris.,The ...,0.43,Partially correct
What is the capital of France?,The capital of France is Paris.,The capital of France is Berlin.,0.33,Incorrect
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton discovered gravity.,1.0,Correct
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton dwascovered gravity.,0.85,Meaning correct but structure different
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac ...,0.51,Partially correct
Who discovered gravity?,Isaac Newton discovered gravity.,Galileo discovered gravity.,0.23,Incorrect
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is the process where plants use sunlight to make food.,1.0,Correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosyntheswas was the process where plants use sunlight to make food.,0.7,Meaning correct but structure different
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis ...,0.44,Partially correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is how animals make food.,0.04,Incorrect
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water is 100°C at sea level.,1.0,Correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water was 100°C at sea level.,0.72,Meaning correct but structure different
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The ...,0.51,Partially correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,Water boils at 90°C.,0.21,Incorrect
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespeare.,1.0,Correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespewere.,0.87,Meaning correct but structure different
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo ...,0.55,Partially correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by Charles Dickens.,0.19,Incorrect
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter is the largest planet in our solar system.,1.0,Correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter was the largest planet in our solar system.,0.7,Meaning correct but structure different
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter ...,0.65,Partially correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Saturn is the largest planet.,0.38,Incorrect
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,1.0,Correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,0.86,Meaning correct but structure different
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An ...,0.6,Partially correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor generates electrical energy from mechanical energy.,0.31,Incorrect
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,1.0,Correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,0.74,Meaning correct but structure different
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The ...,0.45,Partially correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c.,0.31,Incorrect
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,1.0,Correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,0.77,Meaning correct but structure different
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's ...,0.44,Partially correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that objects stay still unless pushed.,0.26,Incorrect
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and gas.",1.0,Correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter were solid, liquid, and gas.",0.71,Meaning correct but structure different
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.",The ...,0.67,Partially correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and plasma.",0.35,Incorrect
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is known as the powerhouse of the cell.,1.0,Correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria was known as the powerhouse of the cell.,0.87,Meaning correct but structure different
